data_hora,metodo,origem,run_name,modelo,dataset,imagens_avaliacao,accuracy_classificador,f1_classificador,precision_det,recall_det,f1_det,mAP50,mAP50_95,tempo_validacao_total_s,tempo_inferencia_dataset_s,tempo_por_imagem_validacao_s,tempo_por_imagem_inferencia_s,imgsz,batch,conf,iou,device
2026-06-28 18:53:41,YOLOv8n,validacao_yolo,yolov8n_cilindros_blaze_v2,vision/results/yolo_cylinder_detector/runs/train/yolov8n_cilindros_blaze_v2/weights/best.pt,vision/datasets/cylinders/CylinDeRS-1,1434,,,,,,,,,,,,640,8,0.35,0.5,0
2026-06-28 19:04:33,YOLOv8n,validacao_yolo,yolov8n_cilindros_blaze_v2,vision/results/yolo_cylinder_detector/runs/train/yolov8n_cilindros_blaze_v2/weights/best.pt,vision/datasets/cylinders/CylinDeRS-1,711,,,0.8943539525978811,0.8287970210495667,0.8603284366987619,0.9041569814902598,0.6753573491430191,9.297121909912676,12.107793951872736,0.01307612082969434,0.017029246064518617,640,8,0.35,0.5,0
