data_hora,metodo,origem,run_name,modelo,dataset,imagens_avaliacao,accuracy_classificador,f1_classificador,precision_det,recall_det,f1_det,mAP50,mAP50_95,tempo_validacao_total_s,tempo_inferencia_dataset_s,tempo_por_imagem_validacao_s,tempo_por_imagem_inferencia_s,imgsz,batch,conf,iou,device
2026-06-28 17:02:40,YOLOv8n,validacao_yolo,yolov8n_cilindros_blaze_v1,vision/results/yolo_cylinder_detector/weights/yolo_cylinders_best.pt,vision/datasets/cylinders/CylinDeRS-1,711,,,0.8942320471989571,0.8294678522174873,0.8606332643231914,0.9023537510346372,0.6663923430311932,81.06667128599656,,0.1140178217805858,,640,8,0.35,0.5,cpu
2026-06-28 18:59:36,YOLOv8n,validacao_yolo,yolov8n_cilindros_blaze_v1,vision/results/yolo_cylinder_detector/weights/yolo_cylinders_best.pt,vision/datasets/cylinders/CylinDeRS-1,711,,,0.8942320471989571,0.8294678522174873,0.8606332643231914,0.9023537510346372,0.6663923430311932,79.40809068499948,,0.1116850783192679,,640,8,0.35,0.5,cpu
2026-06-30 18:58:22,YOLOv8n,validacao_yolo,yolov8n_cilindros_blaze_v1,vision/results/yolo_cylinder_detector/weights/yolo_cylinders_best.pt,vision/datasets/cylinders/CylinDeRS-1,711,,,0.8942320471989571,0.8294678522174873,0.8606332643231914,0.9023537510346371,0.6663923430311932,82.22937789701973,,0.11565313346978866,,640,8,0.35,0.5,cpu
